"","plain","gaus0.5","gaus1.0","gaus1.5","fgsm0.15","fgsm0.3","fgsm0.5"
"1",97.78,94.37,71.66,45.82,79.19,34.82,3.85
"2",98.37,94.68,68.43,42.69,81.93,42.15,11.23
"3",97.85,94.43,69.97,45.14,23.16,2.34,0.04
"4",98.27,93.93,69.92,45.54,38.54,3.54,0.16
"5",97.89,93.33,66.17,43.24,69.55,12.35,0.09
"6",98.09,87.41,54.33,31.57,5.58,0.05,0
"7",98.34,92.26,63.54,37.95,69.45,16.28,1.27
"8",98.2,91.7,58.43,33.22,4.99,0.04,0
"9",98.07,94.75,72.97,43.73,78.69,25.81,1.43
"10",98.28,96.15,73.46,43.63,77.34,20.91,0.55
"11",98.34,96.13,73.1,46.32,57.41,9.37,0.31
"12",98.24,92.58,68.36,44.9,46.43,4.93,0.32
"13",98.16,92.25,67.99,42.46,75.31,27.4,3.22
"14",98.11,93.27,63.04,40.4,76.57,23.26,1.35
"15",98.21,94.97,69.24,43.19,78.78,25.87,1.4
